XY Plot 1
Freq [GHz]
mag(S(2,1)) []
__cartesian__ 0 0 36.300000 0.704298 37.000000 0.989325
__settings__ 1 0 0 0 11 11 0 0 0 0
36.3 0.989325
36.31 0.98874
36.32 0.98809
36.33 0.987368
36.34 0.986561
36.35 0.985658
36.36 0.984644
36.37 0.983502
36.38 0.982211
36.39 0.980747
36.4 0.97908
36.41 0.977173
36.42 0.974984
36.43 0.972459
36.44 0.969532
36.45 0.966122
36.46 0.962129
36.47 0.957427
36.48 0.951861
36.49 0.945237
36.5 0.937313
36.51 0.927793
36.52 0.916316
36.53 0.902464
36.54 0.885779
36.55 0.865821
36.56 0.842311
36.57 0.81537
36.58 0.785922
36.59 0.756142
36.6 0.729686
36.61 0.711124
36.62 0.704298
36.63 0.710362
36.64 0.727194
36.65 0.750723
36.66 0.776852
36.67 0.802611
36.68 0.826328
36.69 0.84731
36.7 0.865459
36.71 0.880971
36.72 0.894163
36.73 0.905373
36.74 0.914915
36.75 0.923066
36.76 0.930057
36.77 0.936084
36.78 0.941306
36.79 0.945853
36.8 0.949832
36.81 0.953332
36.82 0.956425
36.83 0.95917
36.84 0.961618
36.85 0.963808
36.86 0.965777
36.87 0.967552
36.88 0.969159
36.89 0.970617
36.9 0.971946
36.91 0.97316
36.92 0.974272
36.93 0.975293
36.94 0.976234
36.95 0.977102
36.96 0.977905
36.97 0.978649
36.98 0.979341
36.99 0.979985
37 0.980586
mag(S(2,1)) []
__settings__ -1 8 2 0 1 1
